subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
15,3,4,73,true,differentsizes,true,false,0,3,red,big,blicket,9,17,small,2/20/2020,19:54,21547,11895,4,3,0,stim-images/object3redbig.jpg,big,"0
"
15,4,2,84,true,contrast,true,false,0,11,blue,small,gade,14,22,big,2/20/2020,19:54,15359,9461,4,5,6,stim-images/object11bluesmall.jpg,small,"0
"
15,5,3,53,false,differentsizes,true,false,0,7,green,big,wug,23,21,small,2/20/2020,19:55,21129,5255,6,2,0,stim-images/object7greenbig.jpg,big,"0
"
15,6,0,53,false,attncheck,true,false,0,7,green,big,wug,23,21,small,2/20/2020,19:55,21129,5255,6,2,0,stim-images/object7greenbig.jpg,big,"8
"
67,1,6,45,true,samesize,true,false,0,19,blue,big,sprock,15,14,small,2/20/2020,19:48,23718,9307,5,2,0,stim-images/object19bluebig.jpg,big,"0
"
67,2,4,57,true,differentsizes,true,false,0,8,red,small,gade,9,7,big,2/20/2020,19:48,11223,3853,6,3,0,stim-images/object8redsmall.jpg,small,"0
"
67,3,3,18,false,differentsizes,true,false,0,22,blue,small,toma,13,2,big,2/20/2020,19:48,12736,3485,4,2,0,stim-images/object22bluesmall.jpg,small,"0
"
67,4,5,34,false,samesize,true,false,0,5,blue,big,wug,24,16,small,2/20/2020,19:48,8760,2953,6,2,0,stim-images/object5bluebig.jpg,big,"0
"
67,5,2,69,true,contrast,false,true,1,20,red,small,blicket,6,18,big,2/20/2020,19:49,10178,4742,4,5,6,stim-images/object6redsmall.jpg,small,"0
"
67,6,0,69,true,attncheck,false,true,1,20,red,small,blicket,6,18,big,2/20/2020,19:49,10178,4742,4,5,6,stim-images/object6redsmall.jpg,small,"4
"
8,1,2,33,true,contrast,false,true,1,24,purple,big,gade,10,15,small,2/20/2020,19:38,21811,9176,6,4,5,stim-images/object10purplebig.jpg,big,"0
"
8,2,3,78,false,differentsizes,false,false,1,4,red,big,sprock,5,1,small,2/20/2020,19:38,20713,11577,6,2,0,stim-images/object5redsmall.jpg,small,"0
"
8,3,5,24,false,samesize,false,false,1,17,red,big,wug,23,16,small,2/20/2020,19:40,72319,5640,5,1,0,stim-images/object23redbig.jpg,big,"0
"
8,4,4,57,true,differentsizes,true,false,0,21,red,small,toma,18,9,big,2/20/2020,19:41,50886,9072,6,2,0,stim-images/object21redsmall.jpg,small,"0
"
8,5,6,85,true,samesize,false,false,2,3,purple,small,blicket,8,13,big,2/20/2020,19:41,26147,5062,6,1,0,stim-images/object13purplesmall.jpg,small,"0
"
8,6,0,85,true,attncheck,false,false,2,3,purple,small,blicket,8,13,big,2/20/2020,19:41,26147,5062,6,1,0,stim-images/object13purplesmall.jpg,small,"5
"
1,1,6,53,true,samesize,false,false,2,5,purple,big,gade,14,17,small,2/20/2020,20:36,20418,6643,5,1,0,stim-images/object17purplebig.jpg,big,"0
"
1,2,4,56,true,differentsizes,true,false,0,6,blue,big,blicket,20,23,small,2/20/2020,20:37,10073,2377,4,2,0,stim-images/object6bluebig.jpg,big,"0
"
1,3,2,85,true,contrast,true,false,0,22,purple,big,toma,12,16,small,2/20/2020,20:37,12115,2065,5,6,4,stim-images/object22purplebig.jpg,big,"0
"
